County,2022,GDP per capita,Population,FIPS_Text,FIPS,DEM,REP,OTHER,TOTAL,DEM_share_of_GDP,REP_share_of_GDP,OTHER_share_of_GDP,TOTAL_share_of_GDP,State_abb,state,DEM_per_capita,REP_per_capita,OTHER_per_capita,TOTAL_per_capita
Weston,"279,273,000","40,829","6,840",56045,56045,"1,488","24,909","18,388","44,785",0.00000231,0.00003873,0.00002859,0.00006964,WY,Wyoming,0.21754386,3.641666667,2.688304094,6.54751462
Washakie,"342,039,000","44,525","7,682",56043,56043,"3,860","3,576",480,"7,916",0.0000049,0.00000454,0.00000061,0.00001005,WY,Wyoming,0.502473314,0.465503775,0.062483728,1.030460817
Uinta,"813,461,000","39,786","20,446",56041,56041,"10,355","15,275","37,695","63,325",0.00000553,0.00000816,0.00002012,0.00003381,WY,Wyoming,0.506456031,0.747089895,1.843636897,3.097182823
Teton,"3,507,901,000","150,405","23,323",56039,56039,"886,746","1,422,300","3,089,905","5,398,951",0.00010977,0.00017605,0.00038238,0.0006679,WY,Wyoming,38.02023753,60.98272092,132.4831711,231.4861296
Sweetwater,"3,095,421,000","73,235","42,267",56037,56037,"12,582","19,766","32,160","64,508",0.00000177,0.00000277,0.00000451,0.00000905,WY,Wyoming,0.29767904,0.467646154,0.76087728,1.526202475
Sublette,"798,463,000","91,483","8,728",56035,56035,"3,082","186,370","5,876,716","6,066,168",0.00000168,0.00010136,0.00318472,0.003287,WY,Wyoming,0.353116407,21.35311641,673.3175985,695.0238313
Sheridan,"1,493,225,000","48,285","30,925",56033,56033,"42,009","46,347","213,751","302,107",0.00001222,0.00001348,0.00006216,0.00008786,WY,Wyoming,1.358415521,1.49869038,6.911915926,9.769021827
Platte,"507,244,000","58,961","8,603",56031,56031,"1,890","5,073","20,107","27,070",0.00000162,0.00000434,0.00001721,0.00002318,WY,Wyoming,0.219690806,0.589678019,2.337207951,3.146576776
Park,"1,456,902,000","49,178","29,625",56029,56029,"33,370","98,237","29,477","161,084",0.00000995,0.00002928,0.00000879,0.00004802,WY,Wyoming,1.126413502,3.316016878,0.995004219,5.437434599
Niobrara,"100,291,000","40,620","2,469",56027,56027,388,"12,675","12,775","25,838",0.00000168,0.00005488,0.00005532,0.00011187,WY,Wyoming,0.157148643,5.133657351,5.174159579,10.46496557
Natrona,"4,988,595,000","62,393","79,955",56025,56025,"16,338","88,759","11,229","116,326",0.00000142,0.00000773,0.00000098,0.00001013,WY,Wyoming,0.204339941,1.110111938,0.140441498,1.454893378
Lincoln,"872,367,000","44,549","19,582",56023,56023,"4,220","34,217",500,"38,937",0.0000021,0.00001703,0.00000025,0.00001938,WY,Wyoming,0.215504034,1.747370034,0.025533653,1.988407721
Laramie,"5,846,867,000","58,174","100,506",56021,56021,"46,221","183,702","295,515","525,438",0.00000343,0.00001364,0.00002195,0.00003903,WY,Wyoming,0.459882992,1.827771476,2.940272223,5.227926691
Johnson,"388,127,000","45,927","8,451",56019,56019,"3,699","5,284","2,601","11,584",0.00000414,0.00000591,0.00000291,0.00001296,WY,Wyoming,0.437699681,0.62525145,0.307774228,1.370725358
Hot Springs,"239,338,000","51,827","4,618",56017,56017,"4,711","4,539",480,"9,730",0.00000855,0.00000824,0.00000087,0.00001766,WY,Wyoming,1.020138588,0.982893027,0.1039411,2.106972715
Goshen,"439,435,000","35,146","12,503",56015,56015,"6,612","34,581","53,556","94,749",0.00000653,0.00003418,0.00005293,0.00009363,WY,Wyoming,0.52883308,2.765816204,4.283451972,7.578101256
Fremont,"1,505,961,000","38,384","39,234",56013,56013,"14,141","80,526","3,029","97,696",0.00000408,0.00002322,0.00000087,0.00002817,WY,Wyoming,0.360427181,2.052454504,0.077203446,2.49008513
Crook,"310,992,000","43,290","7,184",56011,56011,"4,385","37,548","23,266","65,199",0.00000612,0.00005243,0.00003249,0.00009104,WY,Wyoming,0.610384187,5.226614699,3.238585746,9.075584633
Converse,"1,334,272,000","97,059","13,747",56009,56009,"6,235","20,074","1,962","28,271",0.00000203,0.00000653,0.00000064,0.0000092,WY,Wyoming,0.453553503,1.460245872,0.142722048,2.056521423
Carbon,"1,197,069,000","82,380","14,531",56007,56007,"2,411","72,402","5,814","80,627",0.00000087,0.00002627,0.00000211,0.00002925,WY,Wyoming,0.165921134,4.982588948,0.400110109,5.548620191
Campbell,"5,697,657,000","121,157","47,027",56005,56005,"4,112","55,321","69,412","128,845",0.00000031,0.00000422,0.00000529,0.00000982,WY,Wyoming,0.087439131,1.176366768,1.476003147,2.739809046
Big Horn,"473,264,000","41,078","11,521",56003,56003,"7,929","18,065","4,601","30,595",0.00000728,0.00001658,0.00000422,0.00002807,WY,Wyoming,0.688221509,1.568006249,0.399357695,2.655585453
Albany,"1,615,817,000","43,588","37,070",56001,56001,"32,126","72,964","9,369","114,459",0.00000863,0.00001961,0.00000252,0.00003076,WY,Wyoming,0.866630699,1.968276234,0.252738063,3.087644996
Wood,"3,911,458,000","52,702","74,218",55141,55141,"101,225","93,112","148,525","342,862",0.00001124,0.00001034,0.00001649,0.00003807,WI,Wisconsin,1.363887467,1.254574362,2.00119917,4.619660999
Winnebago,"10,843,847,000","63,143","171,734",55139,55139,"155,129","210,624","5,160","370,913",0.00000621,0.00000844,0.00000021,0.00001485,WI,Wisconsin,0.90330977,1.226454866,0.030046467,2.159811103
Waushara,"647,780,000","26,412","24,526",55137,55137,"34,463","44,954","2,651","82,068",0.0000231,0.00003014,0.00000178,0.00005502,WI,Wisconsin,1.405161869,1.832912012,0.108089375,3.346163255
Waupaca,"1,907,624,000","36,819","51,811",55135,55135,"24,369","28,816","4,462","57,647",0.00000555,0.00000656,0.00000102,0.00001312,WI,Wisconsin,0.470344135,0.55617533,0.086120708,1.112640173
Waukesha,"31,804,701,000","78,150","406,971",55133,55133,"428,279","1,218,632","48,340","1,695,251",0.00000585,0.00001664,0.00000066,0.00002315,WI,Wisconsin,1.052357539,2.994395178,0.118779962,4.165532679
Washington,"6,599,490,000","48,257","136,756",55131,55131,"115,138","709,545","24,372","849,055",0.00000758,0.00004669,0.0000016,0.00005587,WI,Wisconsin,0.841922841,5.18840124,0.178215215,6.208539296
Washburn,"572,215,000","34,425","16,622",55129,55129,"29,129","93,523","7,448","130,100",0.00002211,0.00007098,0.00000565,0.00009873,WI,Wisconsin,1.75243653,5.62645891,0.448080857,7.826976296
Walworth,"4,560,662,000","43,342","105,226",55127,55127,"127,537","224,012","618,612","970,161",0.00001214,0.00002133,0.0000589,0.00009237,WI,Wisconsin,1.212029346,2.12886549,5.878889248,9.219784084
Vilas,"854,104,000","37,059","23,047",55125,55125,"34,055","121,897","98,410","254,362",0.00001732,0.00006198,0.00005004,0.00012932,WI,Wisconsin,1.477632664,5.289061483,4.269970061,11.03666421
Vernon,"1,013,361,000","32,992","30,715",55123,55123,"33,536","7,190","60,761","101,487",0.00001437,0.00000308,0.00002604,0.00004349,WI,Wisconsin,1.091844376,0.234087579,1.978219111,3.304151066
Trempealeau,"1,362,055,000","44,286","30,756",55121,55121,"10,180","242,034","40,178","292,392",0.00000325,0.00007717,0.00001281,0.00009322,WI,Wisconsin,0.330992327,7.86948888,1.306346729,9.506827936
Taylor,"764,685,000","38,397","19,915",55119,55119,"12,205","16,872","25,355","54,432",0.00000693,0.00000958,0.0000144,0.00003091,WI,Wisconsin,0.612854632,0.847200603,1.273160934,2.733216169
Sheboygan,"6,777,935,000","57,429","118,023",55117,55117,"98,670","104,451","9,205","212,326",0.00000632,0.00000669,0.00000059,0.0000136,WI,Wisconsin,0.836023487,0.885005465,0.077993272,1.799022224
